fecha,año,producto,mes,almacén,ciudad,cantidad,cliente,id_cliente
2020-05-18,2020,Butifarra,5,Sucursal Oeste,Barranquilla,5,Leonardo Acosta,10954
2020-08-28,2020,Tocineta,8,Sucursal Norte,Medellín,10,Quique Prieto-Esteban,3152
2020-06-17,2020,Butifarra,6,Sucursal Sur,Cartagena,2,Armando Contreras-Guerrero,1261
2020-04-25,2020,Chorizo,4,Sucursal Norte,Cartagena,2,Rubén Villanueva,4161
2022-02-06,2022,Chorizo,2,Sucursal Este,Medellín,3,Catalina Rubio-Solís,7310
2025-11-19,2025,Chorizo,11,Sucursal Este,Barranquilla,6,Joaquín Salazar-Méndez,4782
2020-05-19,2020,Salchichón,5,Sucursal Sur,Bogotá,4,Iván Serrano-Peralta,5293
2024-03-11,2024,Morcilla,3,Almacén Central,Cúcuta,3,Gabriel Delgado,2768
2020-11-03,2020,Morcilla,11,Sucursal Norte,Cúcuta,9,Laura Álvarez,8715
2023-03-19,2023,Chorizo,3,Almacén Central,Barranquilla,3,Gabriel Castro-Fuentes,4620
2025-01-01,2025,Tocineta,1,Sucursal Sur,Cúcuta,5,Isabel Escobar-Romero,5046
2025-07-10,2025,Longaniza,7,Sucursal Norte,Bogotá,5,Sara Aguilar-Álvarez,9153
2023-02-17,2023,Morcilla,2,Sucursal Oeste,Bogotá,10,Jacqueline Pascual-Cruz,5254
2023-08-11,2023,Salchichón,8,Sucursal Norte,Cartagena,8,Magdalena Muñoz,4814
2022-11-28,2022,Chorizo,11,Sucursal Este,Medellín,1,Daniel Gil,8779
2023-07-16,2023,Chorizo,7,Sucursal Este,Cartagena,5,Gabriela Torres-Cortes,1287
2023-01-06,2023,Tocineta,1,Sucursal Sur,Cali,9,Lourdes Rivera,9275
2024-06-11,2024,Tocineta,6,Sucursal Oeste,Cartagena,3,Alfredo Molina,10428
2022-01-25,2022,Salchichón,1,Sucursal Sur,Cali,6,Gonzalo Ferrer-Vega,2587
2021-01-20,2021,Salchichón,1,Sucursal Este,Medellín,10,Lorenzo Guerrero,8427
2024-02-05,2024,Butifarra,2,Sucursal Sur,Barranquilla,1,Gabriela Rubio,10524
2024-11-17,2024,Jamón,11,Sucursal Sur,Bogotá,10,Antonio Mendoza-Guillén,6422
2024-05-10,2024,Longaniza,5,Almacén Central,Bucaramanga,10,Úrsula Méndez,9466
2022-01-10,2022,Morcilla,1,Almacén Central,Medellín,2,Patricia Iglesias,7989
2023-03-16,2023,Morcilla,3,Sucursal Norte,Bucaramanga,6,Karla Ruiz,8900
2023-09-11,2023,Chorizo,9,Sucursal Oeste,Bucaramanga,7,Renata Marín,4169
2024-12-21,2024,Chorizo,12,Almacén Central,Pereira,1,Mariana Mendoza,3988
2022-04-02,2022,Morcilla,4,Sucursal Oeste,Cali,6,Kike Ferrer,7248
2023-09-09,2023,Jamón,9,Sucursal Norte,Barranquilla,9,Raúl Rodríguez,4460
2025-03-31,2025,Butifarra,3,Almacén Central,Cúcuta,10,Isabel Alonso,4752
2021-12-09,2021,Tocineta,12,Sucursal Este,Barranquilla,10,Vicente Cardona,5719
2025-10-29,2025,Chorizo,10,Sucursal Sur,Barranquilla,10,Nicolás Rodríguez,9079
2020-12-15,2020,Morcilla,12,Sucursal Este,Cali,4,Mauricio Carrasco,5823
2024-08-10,2024,Salchichón,8,Almacén Central,Cúcuta,9,Rocío Calvo-Serrano,7401
2023-09-04,2023,Chorizo,9,Sucursal Sur,Bucaramanga,4,Emilio García,9480
2025-10-18,2025,Butifarra,10,Sucursal Oeste,Barranquilla,3,Lourdes Mendez-Crespo,4385
2022-06-10,2022,Chorizo,6,Sucursal Este,Cali,3,Óscar Guerrero-Guillén,6232
2020-07-27,2020,Longaniza,7,Sucursal Oeste,Cúcuta,10,Ricardo Ibañez,10060
2022-04-15,2022,Tocineta,4,Sucursal Oeste,Medellín,2,Kevin Pastor-Romero,1322
2020-07-30,2020,Tocineta,7,Sucursal Este,Cúcuta,10,Agustina Rojas-Santiago,8261
2020-11-19,2020,Butifarra,11,Sucursal Sur,Medellín,5,Alicia Calvo-Cortes,3782
2024-10-04,2024,Morcilla,10,Sucursal Este,Bogotá,6,Isabella Núñez,2231
2022-05-16,2022,Longaniza,5,Sucursal Norte,Cartagena,1,Esteban Gutiérrez,6801
2024-04-05,2024,Longaniza,4,Sucursal Sur,Cartagena,9,Mauricio Mendez,1219
2020-09-26,2020,Longaniza,9,Sucursal Este,Medellín,1,María Ortiz,4430
2024-01-07,2024,Chorizo,1,Almacén Central,Barranquilla,7,Luciana León,1686
2023-10-14,2023,Salchichón,10,Sucursal Este,Cali,1,Jana Rivera-Gallego,9588
2024-02-11,2024,Tocineta,2,Almacén Central,Medellín,9,Luciana Contreras,7265
2022-01-07,2022,Longaniza,1,Almacén Central,Cali,4,Valeria Ruiz-Medina,3039
2020-11-01,2020,Tocineta,11,Sucursal Sur,Medellín,4,Sofía Vega,8523
2020-09-15,2020,Morcilla,9,Sucursal Este,Medellín,1,Germán Domínguez,3314
2021-08-13,2021,Jamón,8,Almacén Central,Cúcuta,10,Humberto Villanueva,4492
2021-07-29,2021,Morcilla,7,Almacén Central,Bucaramanga,2,Valeria Gallego,5165
2023-08-10,2023,Jamón,8,Almacén Central,Bogotá,6,Marina Calvo,3974
2025-03-02,2025,Morcilla,3,Sucursal Oeste,Pereira,3,Irene Ortiz-Ortiz,9971
2022-04-16,2022,Tocineta,4,Almacén Central,Bucaramanga,8,Ignacio Santos,2416
2021-03-06,2021,Butifarra,3,Almacén Central,Medellín,3,Rina Castillo,9625
2025-08-13,2025,Tocineta,8,Sucursal Norte,Cali,6,Uriel Álvarez-García,7315
2020-01-08,2020,Longaniza,1,Sucursal Sur,Barranquilla,4,Miguel Acosta,10814
2020-11-01,2020,Tocineta,11,Almacén Central,Cartagena,9,Cristina Castillo-Gil,6273
2024-08-26,2024,Morcilla,8,Sucursal Este,Cali,4,Victor Fuentes,4306
2020-10-02,2020,Morcilla,10,Sucursal Sur,Cali,6,Graciela Fuentes,10446
